,Non-Financial Corporation-Current,Non-Financial Corporation-Capital,Financial Corporations,Government,Households,Rest of World
GDP Redistribution,-S12.P1.RECV+S12.P2.PAID-S13.P1.RECV+S13.P2.PAID-S14_S15.P1.RECV+S14_S15.P2.PAID,0,S12.P1.RECV-S12.P2.PAID,S13.P1.RECV-S13.P2.PAID,S14_S15.P1.RECV-S14_S15.P2.PAID,0
Consumption,S13.P3.PAID+S14_S15.P3.PAID,0,0,-S13.P3.PAID,-S14_S15.P3.PAID,0
Exports,S2.P6.PAID,0,0,0,0,-S2.P6.PAID
Imports,-S2.P7.RECV,0,0,0,0,S2.P7.RECV
Investment,S11.P5G.PAID+S12.P5G.PAID+S13.P5G.PAID+S14_S15.P5G.PAID,-S11.P5G.PAID,-S12.P5G.PAID,-S13.P5G.PAID,-S14_S15.P5G.PAID,0
Wages,-S11.D1.PAID,0,-S12.D1.PAID,-S13.D1.PAID,-S14_S15.D1.PAID+S14_S15.D1.RECV,-S2.D1.PAID+S2.D1.RECV
Net Production Taxes and Subsidies,-S11.D2.PAID+S11.D3.RECV-S13.D21.RECV-S2.D21.RECV+S13.D31.PAID,0,-S12.D2.PAID+S12.D3.RECV,-S13.D2.PAID+S13.D2.RECV+S13.D3.RECV-S13.D3.PAID,-S14_S15.D2.PAID+S14_S15.D3.RECV,S2.D2.RECV-S2.D3.PAID-S13.D31.PAID+S1.D31.RECV
Dividends,-S11.D42.PAID+S11.D42.RECV,0,-S12.D42.PAID+S12.D42.RECV,S13.D42.RECV,S14_S15.D42.RECV,-S2.D42.PAID+S2.D42.RECV
Interests payments,-S11.D41.PAID+S11.D41.RECV,0,-S12.D41.PAID+S12.D41.RECV,-S13.D41.PAID+S13.D41.RECV,-S14_S15.D41.PAID+S14_S15.D41.RECV,-S2.D41.PAID+S2.D41.RECV
Other property income,S11.D43.RECV+S11.D44.RECV+S11.D45.RECV-S11.D43.PAID-S11.D45.PAID,0,S12.D43.RECV+S12.D44.RECV+S12.D45.RECV-S12.D43.PAID-S12.D44.PAID-S12.D45.PAID,S13.D44.RECV+S13.D45.RECV,S14_S15.D44.RECV+S14_S15.D45.RECV-S14_S15.D43.PAID-S14_S15.D44.PAID-S14_S15.D45.PAID,S2.D43.RECV+S2.D44.RECV-S2.D43.PAID-S2.D44.PAID
Net Social Contributions,-S11.D5.PAID+S11.D61.RECV-S11.D62.PAID,0,-S12.D5.PAID+S12.D61.RECV-S12.D62.PAID,S13.D5.RECV-S13.D5.PAID+S13.D61.RECV-S13.D62.PAID,-S14_S15.D5.PAID+S14_S15.D61.RECV+S14_S15.D62.RECV-S14_S15.D61.PAID-S14_S15.D62.PAID,S2.D5.RECV-S2.D5.PAID+S2.D61.RECV+S2.D62.RECV-S2.D61.PAID
Other Transfers,-S11.D7.PAID+S11.D7.RECV-S11.D9.PAID+S11.D9.RECV-S11.NP.PAID,0,-S12.D7.PAID+S12.D7.RECV-S12.NP.PAID-S12.D8.PAID-S12.D9.PAID+S12.D9.RECV,-S13.D7.PAID+S13.D7.RECV-S13.D9.PAID+S13.D9.RECV-S13.NP.PAID,-S14_S15.D7.PAID+S14_S15.D7.RECV+S14_S15.D8.RECV-S14_S15.D9.PAID+S14_S15.D9.RECV-S14_S15.NP.PAID,-S2.D7.PAID+S2.D7.RECV+S2.D8.RECV-S2.D9.PAID+S2.D9.RECV-S2.NP.PAID
Net Lending Position,-S11.B9.PAID,0,-S12.B9.PAID,-S13.B9.PAID,-S14_S15.B9.PAID,-S2.B9.PAID